id,name,description,ward,city,phone,email,capacity,price_table,star_rating,review_count,image_url,created_at,updated_at
1,Gem Center,"Venue: Gem Center — địa điểm tổ chức tiệc cưới/đám hỏi tại Quận 1 TP.HCM",Quận 1,Thành phố Hồ Chí Minh,02812345601,gemcenter1@example.com,1200,15000000,4.5,250,uploads/restaurants/hinh1.png,2025-11-27,2025-11-27
2,White Palace,"Venue: White Palace — sảnh cưới hiện đại tại TP.HCM",Quận 1,Thành phố Hồ Chí Minh,02812345602,whitepalace1@example.com,800,12000000,4.3,180,uploads/restaurants/hinh2.png,2025-11-27,2025-11-27
3,Royal Hall,"Venue: Royal Hall — nhà hàng tiệc cưới sang trọng TP.HCM",Quận 3,Thành phố Hồ Chí Minh,02812345603,royalhall1@example.com,950,14000000,4.4,200,uploads/restaurants/hinh3.png,2025-11-27,2025-11-27
4,Diamond Hall,"Venue: Diamond Hall — sảnh cưới hiện đại đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345604,diamondhall1@example.com,700,13000000,4.2,150,uploads/restaurants/hinh4.png,2025-11-27,2025-11-27
5,Saigon Hall,"Venue: Saigon Hall — trung tâm tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345605,saigonhall1@example.com,1000,16000000,4.6,300,uploads/restaurants/hinh5.png,2025-11-27,2025-11-27
6,Luxury Hall,"Venue: Luxury Hall — nhà hàng tiệc cưới sang trọng TP.HCM",Quận 7,Thành phố Hồ Chí Minh,02812345606,luxuryhall1@example.com,850,12500000,4.3,220,uploads/restaurants/hinh6.png,2025-11-27,2025-11-27
7,Majestic Hall,"Venue: Majestic Hall — sảnh cưới hiện đại đa năng",Phú Nhuận,Thành phố Hồ Chí Minh,02812345607,majestichall1@example.com,900,13500000,4.4,210,uploads/restaurants/hinh7.png,2025-11-27,2025-11-27
8,Victoria Hall,"Venue: Victoria Hall — trung tâm tổ chức tiệc cưới",Quận 1,Thành phố Hồ Chí Minh,02812345608,victoriahall1@example.com,750,12800000,4.3,160,uploads/restaurants/hinh8.png,2025-11-27,2025-11-27
9,Royal Palace,"Venue: Royal Palace — nhà hàng tiệc cưới nổi tiếng",Quận 3,Thành phố Hồ Chí Minh,02812345609,royalpalace1@example.com,1100,15000000,4.5,280,uploads/restaurants/hinh9.png,2025-11-27,2025-11-27
10,Golden Palace,"Venue: Golden Palace — sảnh cưới sang trọng TP.HCM",Bình Thạnh,Thành phố Hồ Chí Minh,02812345610,goldenpalace1@example.com,800,13000000,4.2,190,uploads/restaurants/hinh10.png,2025-11-27,2025-11-27
11,Imperial Palace,"Venue: Imperial Palace — nhà hàng tiệc cưới cao cấp",Quận 1,Thành phố Hồ Chí Minh,02812345611,imperialpalace1@example.com,950,14000000,4.4,210,uploads/restaurants/hinh11.png,2025-11-27,2025-11-27
12,Lotus Palace,"Venue: Lotus Palace — trung tâm tổ chức tiệc cưới hiện đại",Phú Nhuận,Thành phố Hồ Chí Minh,02812345612,lotuspalace1@example.com,700,12500000,4.3,180,uploads/restaurants/hinh12.png,2025-11-27,2025-11-27
13,Palace Royale,"Venue: Palace Royale — nhà hàng tiệc cưới sang trọng",Quận 3,Thành phố Hồ Chí Minh,02812345613,palaceroayle1@example.com,850,13500000,4.2,200,uploads/restaurants/hinh13.png,2025-11-27,2025-11-27
14,Saigon Grand Hall,"Venue: Saigon Grand Hall — sảnh cưới đa năng hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345614,saigongrand1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh14.png,2025-11-27,2025-11-27
15,New Century Hall,"Venue: New Century Hall — trung tâm tiệc cưới hiện đại TP.HCM",Bình Thạnh,Thành phố Hồ Chí Minh,02812345615,newcenturyhall1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh15.png,2025-11-27,2025-11-27
16,Forevermark Palace,"Venue: Forevermark Palace — nhà hàng tiệc cưới cao cấp",Quận 7,Thành phố Hồ Chí Minh,02812345616,forevermark1@example.com,850,13000000,4.3,200,uploads/restaurants/hinh16.png,2025-11-27,2025-11-27
17,Gem Center 2,"Venue: Gem Center 2 — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345617,gemcenter2@example.com,1200,15000000,4.5,260,uploads/restaurants/hinh17.png,2025-11-27,2025-11-27
18,White Palace 2,"Venue: White Palace 2 — sảnh cưới sang trọng TP.HCM",Phú Nhuận,Thành phố Hồ Chí Minh,02812345618,whitepalace2@example.com,800,12500000,4.3,190,uploads/restaurants/hinh18.png,2025-11-27,2025-11-27
19,Royal Hall 2,"Venue: Royal Hall 2 — nhà hàng tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345619,royalhall2@example.com,950,14000000,4.4,210,uploads/restaurants/hinh19.png,2025-11-27,2025-11-27
20,Diamond Hall 2,"Venue: Diamond Hall 2 — sảnh cưới sang trọng đa năng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345620,diamondhall2@example.com,700,13000000,4.2,170,uploads/restaurants/hinh20.png,2025-11-27,2025-11-27
21,Saigon Luxury Hall,"Venue: Saigon Luxury Hall — sảnh cưới hiện đại sang trọng",Quận 1,Thành phố Hồ Chí Minh,02812345621,saigonluxury1@example.com,950,14500000,4.5,230,uploads/restaurants/hinh21.png,2025-11-27,2025-11-27
22,Golden Dragon Hall,"Venue: Golden Dragon Hall — nhà hàng tiệc cưới cao cấp",Quận 3,Thành phố Hồ Chí Minh,02812345622,goldendragon1@example.com,900,13800000,4.4,210,uploads/restaurants/hinh22.png,2025-11-27,2025-11-27
23,Royal Lotus Hall,"Venue: Royal Lotus Hall — sảnh cưới sang trọng",Bình Thạnh,Thành phố Hồ Chí Minh,02812345623,royallotus1@example.com,850,13200000,4.3,200,uploads/restaurants/hinh23.png,2025-11-27,2025-11-27
24,Imperial Grand Hall,"Venue: Imperial Grand Hall — trung tâm tiệc cưới hiện đại",Quận 1,Thành phố Hồ Chí Minh,02812345624,imperialgrand1@example.com,1000,15000000,4.5,250,uploads/restaurants/hinh24.png,2025-11-27,2025-11-27
25,Diamond Palace,"Venue: Diamond Palace — sảnh cưới cao cấp tại TP.HCM",Phú Nhuận,Thành phố Hồ Chí Minh,02812345625,diamondpalace1@example.com,900,14000000,4.4,220,uploads/restaurants/hinh25.png,2025-11-27,2025-11-27
